M,Lambda,x,Delta,eta_C,T_b,T_c
0.049999999999999996,1.0,0.05973485000555879,0.5294705682686187,0.8900926462635992,0.7851196980567283,0.08629042837973701
1e-08,1.000543187151436,1.1550141117220753e-08,1.0879841628621551e-07,0.9999999768997182,3978873.577297381,0.0919131010183176
1e-08,1.0005431872601755,1.1550141117848392e-08,1.087984162803034e-07,0.9999999768997182,3978873.57729738,0.09191310102331217
1e-08,1.000543187368915,1.1550141118476025e-08,1.0879841627439131e-07,0.9999999768997182,3978873.57729738,0.0919131010283068
1e-08,1.0005431874776545,1.1550141119103671e-08,1.0879841626847912e-07,0.9999999768997182,3978873.57729738,0.09191310103330129
1e-08,1.000543187586394,1.1550141119731306e-08,1.0879841626256698e-07,0.9999999768997182,3978873.57729738,0.09191310103829585
1e-08,1.0005431876951334,1.1550141120358941e-08,1.0879841625665488e-07,0.9999999768997182,3978873.57729738,0.09191310104329045
1e-08,1.0005431878038729,1.1550141120986578e-08,1.0879841625074271e-07,0.9999999768997182,3978873.577297381,0.09191310104828501
1e-08,1.0005431879126123,1.1550141121614217e-08,1.087984162448306e-07,0.9999999768997182,3978873.57729738,0.09191310105327957
1e-08,1.0005431880213518,1.1550141122241847e-08,1.087984162389185e-07,0.9999999768997182,3978873.577297381,0.09191310105827426
1e-08,1.0005431881300912,1.1550141122869485e-08,1.087984162330064e-07,0.9999999768997182,3978873.57729738,0.09191310106326883
1e-08,1.0005431882388307,1.1550141123497129e-08,1.0879841622709422e-07,0.9999999768997182,3978873.57729738,0.09191310106826335
1e-08,1.0005431883475702,1.1550141124124762e-08,1.0879841622118212e-07,0.9999999768997182,3978873.57729738,0.09191310107325797
1e-08,1.0005431884563096,1.1550141124752395e-08,1.0879841621526999e-07,0.9999999768997182,3978873.577297381,0.09191310107825258
1e-08,1.000543188565049,1.1550141125380038e-08,1.0879841620935784e-07,0.9999999768997182,3978873.57729738,0.09191310108324707
1e-08,1.0005431886737886,1.1550141126007673e-08,1.0879841620344574e-07,0.9999999768997182,3978873.57729738,0.09191310108824169
1e-08,1.0005431887825278,1.155014112663531e-08,1.0879841619753362e-07,0.9999999768997182,3978873.57729738,0.09191310109323626
1e-08,1.000543188891267,1.1550141127262948e-08,1.0879841619162146e-07,0.9999999768997181,3978873.57729738,0.09191310109823077
1e-08,1.0005431890000063,1.155014112789058e-08,1.087984161857094e-07,0.9999999768997181,3978873.57729738,0.09191310110322541
1e-08,1.0005431891087455,1.1550141128518212e-08,1.0879841617979727e-07,0.9999999768997181,3978873.577297381,0.09191310110822
1e-08,1.0005431892174848,1.1550141129145856e-08,1.0879841617388511e-07,0.9999999768997181,3978873.57729738,0.09191310111321445
1e-08,1.000543189326224,1.155014112977349e-08,1.0879841616797302e-07,0.9999999768997181,3978873.57729738,0.09191310111820908
1e-08,1.0005431894349632,1.1550141130401119e-08,1.0879841616206089e-07,0.9999999768997181,3978873.5772973816,0.0919131011232037
1e-08,1.0005431895437025,1.155014113102876e-08,1.0879841615614877e-07,0.9999999768997181,3978873.577297381,0.09191310112819823
1e-08,1.0005431896524417,1.1550141131656397e-08,1.0879841615023663e-07,0.9999999768997181,3978873.577297381,0.09191310113319276
1e-08,1.000543189761181,1.1550141132284028e-08,1.0879841614432459e-07,0.9999999768997181,3978873.57729738,0.0919131011381874
1e-08,1.0005431898699202,1.1550141132911667e-08,1.0879841613841246e-07,0.9999999768997181,3978873.57729738,0.09191310114318196
1e-08,1.0005431899786594,1.1550141133539305e-08,1.0879841613250031e-07,0.9999999768997181,3978873.57729738,0.09191310114817647
1e-08,1.0005431900873987,1.155014113416694e-08,1.0879841612658822e-07,0.9999999768997181,3978873.57729738,0.09191310115317108
1e-08,1.000543190196138,1.1550141134794574e-08,1.0879841612067606e-07,0.9999999768997181,3978873.577297381,0.09191310115816563
1e-08,1.0005431903048772,1.1550141135422211e-08,1.0879841611476393e-07,0.9999999768997181,3978873.577297381,0.09191310116316015
1e-08,1.0005431904136164,1.1550141136049846e-08,1.0879841610885187e-07,0.9999999768997181,3978873.57729738,0.09191310116815479
1e-08,1.0005431905223556,1.1550141136677482e-08,1.0879841610293975e-07,0.9999999768997181,3978873.57729738,0.09191310117314935
