x,Delta,eta_C,M,T_ratio
2.999999999999999889e-01,2.034124739734398002e+00,5.687499999999999778e-01,2.060976492960568673e-01,4.312499999999999667e-01
3.581459958789769971e-01,2.270864805612867521e+00,5.079155818602658634e-01,2.324487780313570229e-01,4.920844181397341366e-01
4.032720186661045703e-01,2.427197400337089306e+00,4.635213211838128955e-01,2.501061718108456566e-01,5.364786788161871600e-01
4.401125689108332240e-01,2.538825855152890387e+00,4.288321172116901225e-01,2.628378247771739340e-01,5.711678827883098775e-01
4.711986272523401853e-01,2.622768849733838170e+00,4.005214957297169032e-01,2.724791455559695819e-01,5.994785042702830413e-01
4.980519007407171461e-01,2.688281401807890880e+00,3.767060127887605914e-01,2.800435606200057381e-01,6.232939872112392976e-01
5.216612466102953372e-01,2.740865292383958263e+00,3.562186322521014858e-01,2.861403937944747566e-01,6.437813677478986252e-01
5.427061924456551001e-01,2.784010760975874188e+00,3.382880018322649285e-01,2.911596168902784720e-01,6.617119981677349605e-01
5.616739172755819132e-01,2.820045125819605758e+00,3.223788394504841226e-01,2.953631124601126534e-01,6.776211605495158219e-01
5.789255552448235864e-01,2.850582946153956687e+00,3.081052248009872874e-01,2.989336177033921071e-01,6.918947751990127681e-01
5.947361457078054192e-01,2.876781077732592173e+00,2.951802219752064915e-01,3.020027041383632760e-01,7.048197780247934530e-01
6.093199034705569783e-01,2.899491019208005671e+00,2.833850061049222324e-01,3.046676148714920207e-01,7.166149938950777676e-01
6.228468504763902125e-01,2.919353946062009264e+00,2.725491016837967573e-01,3.070018341155337782e-01,7.274508983162032427e-01
6.354541301625618033e-01,2.936862189487190467e+00,2.625372670818436616e-01,3.090619618633268506e-01,7.374627329181563384e-01
6.472539233771207323e-01,2.952400259624295753e+00,2.532405193100045193e-01,3.108923227778320753e-01,7.467594806899955362e-01
6.583391217108689464e-01,2.966272961011615639e+00,2.445698285611332123e-01,3.125281379533960679e-01,7.554301714388667044e-01
6.687874796568366031e-01,2.978725116335144918e+00,2.364515862270099855e-01,3.139977581127909034e-01,7.635484137729899867e-01
6.786647098823926916e-01,2.989955690307530389e+00,2.288242818494458097e-01,3.153242679642533908e-01,7.711757181505541903e-01
6.880268285274898643e-01,3.000128089677332799e+00,2.216360231019052773e-01,3.165266596083377570e-01,7.783639768980946672e-01
6.969219582580747918e-01,3.009377798103686441e+00,2.148426555922701708e-01,3.176207046112680121e-01,7.851573444077297736e-01
7.053917326519898445e-01,3.017818119132477328e+00,2.084063171732731534e-01,3.186196115444853150e-01,7.915936828267268188e-01
7.134724030344584689e-01,3.025544553798684699e+00,2.022943121246630060e-01,3.195345282843685131e-01,7.977056878753369107e-01
7.211957201904872772e-01,3.032638177984362748e+00,1.964782242702550752e-01,3.203749303104131974e-01,8.035217757297450358e-01
7.285896436318259894e-01,3.039168276963656989e+00,1.909332109481146345e-01,3.211489241539246531e-01,8.090667890518854488e-01
7.356789172691499124e-01,3.045194421393266904e+00,1.856374355320341563e-01,3.218634869139825327e-01,8.143625644679658437e-01
7.424855405096300043e-01,3.050768118466652190e+00,1.805716072760384927e-01,3.225246570543529034e-01,8.194283927239615073e-01
7.490291567118062543e-01,3.055934136512453048e+00,1.757186051409696526e-01,3.231376876863761294e-01,8.242813948590302919e-01
7.553273757521842269e-01,3.060731576122179387e+00,1.710631679572735542e-01,3.237071706863821063e-01,8.289368320427263903e-01
7.613960436307739554e-01,3.065194742748189149e+00,1.665916374423100643e-01,3.242371379348381599e-01,8.334083625576897969e-01
7.672494691823290580e-01,3.069353862490821871e+00,1.622917436709745698e-01,3.247311444593309893e-01,8.377082563290253470e-01
