source_path,file_type,mime_type,size_bytes,sha256,bucket,likely_project_role,status_label,recommended_destination,duplication_status,duplicate_group_size,migration_status,migrated_to
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/index.html,html,text/html,473,17562a193a344d0d88618f722dddff54ebab887c00f8b1fa9ee8ebde7c4fd989,app/tooling,app_project_meta,exact+exploratory,app/sds-workbench/index.html,unique,1,copied,app/sds-workbench/index.html
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/package-lock.json,json,application/json,62158,0887a2fef2bf0326fc376051e0fd9f629baccbdc303272e0aaa13af288c76058,app/tooling,app_project_meta,exact+exploratory,app/sds-workbench/package-lock.json,unique,1,copied,app/sds-workbench/package-lock.json
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/package.json,json,application/json,501,d1974f48579afda8624ebcc88b4e475a256bef26e1d2598feea67572f0578ee1,app/tooling,app_project_meta,exact+exploratory,app/sds-workbench/package.json,unique,1,copied,app/sds-workbench/package.json
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/App.tsx,tsx,unknown,1861,62f07cc2ecd1eebcebb0a77767e36acbbaba724a40ec5f3b72c6e7d18ecc0e66,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/App.tsx,unique,1,copied,app/sds-workbench/src/App.tsx
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/components/layout/Sidebar.tsx,tsx,unknown,11023,f242b3f0988c61505bd6a0b0649c4bf7dbd51285d27381bf81ea8ebd5daeb9ba,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/components/layout/Sidebar.tsx,unique,1,copied,app/sds-workbench/src/components/layout/Sidebar.tsx
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/components/layout/TopBar.tsx,tsx,unknown,1947,dbd14114c47118edc740adff6f58eeaf46df1590e9fe1f72b2c9810739e995dd,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/components/layout/TopBar.tsx,unique,1,copied,app/sds-workbench/src/components/layout/TopBar.tsx
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/components/tabs/CompareTab.tsx,tsx,unknown,5662,aa7e49d1c32934caaa753f4782676cff0c0ef7cb622805976db064c7ac77d468,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/components/tabs/CompareTab.tsx,unique,1,copied,app/sds-workbench/src/components/tabs/CompareTab.tsx
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/components/tabs/ExploreTab.tsx,tsx,unknown,3598,909a76c268a4850e4671a8aeff270e2053cff21a38522833606f3f138ea8e9e6,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/components/tabs/ExploreTab.tsx,unique,1,copied,app/sds-workbench/src/components/tabs/ExploreTab.tsx
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/components/tabs/ExportTab.tsx,tsx,unknown,3758,47be0d9964559dd456e4655e01829b07ef92eea298b9bc974ee2cd71cd0ca5a9,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/components/tabs/ExportTab.tsx,unique,1,copied,app/sds-workbench/src/components/tabs/ExportTab.tsx
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/components/tabs/GeometryTab.tsx,tsx,unknown,3895,0a25fcb6e779e08ef9ab09c3ce21d2fcc794f3996e1ee6bec8c529bc287fa25b,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/components/tabs/GeometryTab.tsx,unique,1,copied,app/sds-workbench/src/components/tabs/GeometryTab.tsx
